#   r    ph     vph    
1.485  11.2409702653052     17.7996089386701
1.49  11.3303484736547     17.9550472836026
1.495  11.4205077727797     18.1120802399023
1.5  11.5114561815072     18.2707265313394
1.505  11.6032018128918     18.4310051307426
1.51  11.6957528754702     18.5929352637167
1.515  11.7891176745337     18.7565364124215
1.52  11.883304613421     18.921828319414
1.525  11.9783221948295     19.0888309915531
1.53  12.0741790221463     19.2575647039697
1.535  12.1708838007999     19.4280500041029
1.54  12.2684453396313     19.6003077158026
1.545  12.3668725522863     19.7743589435016
1.55  12.4661744586292     19.9502250764563
1.555  12.566360186177     20.1279277930587
1.56  12.667438971556     20.3074890652213
1.565  12.76942016198     20.488931162834
1.57  12.8723132167518     20.6722766582979
1.575  12.9761277087866     20.8575484311335
1.58  13.0808733261592     21.0447696726681
1.585  13.1865598736745     21.2339638908013
1.59  13.2931972744624     21.4251549148519
1.595  13.4007955715971     21.6183669004867
1.6  13.5093649297404     21.8136243347324
1.605  13.618915636812     22.0109520410738
1.61  13.7294581056833     22.2103751846377
1.615  13.8410028758994     22.4119192774664
1.62  13.9535606154264     22.6156101838799
1.625  14.067142122426     22.8214741259313
1.63  14.1817583270581     23.0295376889551
1.635  14.2974202933106     23.2398278272104
1.64  14.4141392208583     23.4523718696221
1.645  14.5319264469503     23.66719752562
1.65  14.6507934483273     23.8843328910799
1.655  14.7707518431683     24.1038064543661
1.66  14.8918133930683     24.3256471024799
1.665  15.0139900050466     24.5498841273134
1.67  15.1372937335869     24.7765472320135
1.675  15.2617367827093     25.0056665374552
1.68  15.3873315080752     25.2372725888288
1.685  15.5140904191249     25.4713963623421
1.69  15.6420261812497     25.7080692720393
1.695  15.7711516179981     25.9473231767397
1.7  15.9014797133164     26.1891903870988
1.705  16.033023613826     26.4337036727928
1.71  16.1657966311359     26.6808962698297
1.715  16.299812244193     26.9308018879906
1.72  16.4350841016691     27.1834547184007
1.725  16.5716260243865     27.4388894412364
1.73  16.7094520077825     27.6971412335672
1.735  16.8485762244135     27.9582457773386
1.74  16.9890130264989     28.2222392674962
1.745  17.1307769485064     28.4891584202548
1.75  17.2738827097793     28.7590404815156
1.755  17.4183452172051     29.0319232354336
1.76  17.5641795679288     29.3078450131389
1.765  17.7114010521091     29.5868447016146
1.77  17.8600251557196     29.868961752734
1.775  18.0100675633963     30.1542361924616
1.78  18.1615441613302     30.442708630219
1.785  18.3144710402083     30.7344202684213
1.79  18.4688644982025     31.0294129121856
1.795  18.6247410440067     31.3277289792162
1.8  18.7821173999245     31.6294115098686
1.805  18.9410105050079     31.9345041773986
1.81  19.1014375182467     32.243051298396
1.815  19.2634158218115     32.5550978434113
1.82  19.4269630243497     32.8706894477756
1.825  19.5920969643367     33.1898724226194
1.83  19.7588357134817     33.5126937660943
1.835  19.9271975801914     33.8392011748002
1.84  20.0972011130899     34.1694430554248
1.845  20.2688651045989     34.5034685365966
1.85  20.4422085945763     34.8413274809588
1.855  20.6172508740166     35.1830704974656
1.86  20.7940114888128     35.5287489539082
1.865  20.9725102435822     35.8784149896734
1.87  21.1527672055555     36.2321215287396
1.875  21.3348027085326     36.5899222929169
1.88  21.5186373569045     36.9518718153331
1.885  21.7042920297434     37.3180254541745
1.89  21.8917878849622     37.6884394066833
1.895  22.0811463635448     38.0631707234188
1.9  22.2723891938477     38.4422773227881
1.905  22.4655383959762     38.8258180058498
1.91  22.6606162862335     39.2138524713996
1.915  22.8576454816478     39.60644133134
1.92  23.0566489045755     40.0036461263435
1.925  23.2576497873842     40.4055293418125
1.93  23.4606716772165     40.8121544241442
