#   t   x   y   z     
0   1    2   3
0.52   1.51980893980046    2.52019106020058   4.31039999999997
0.525   1.52480710268316    2.52519289731789   4.32562499999997
0.53   1.52980526556585    2.53019473443521   4.34089999999997
0.535   1.53480342844855    2.53519657155252   4.35622499999997
0.54   1.53980159133125    2.54019840866983   4.37159999999997
0.545   1.54479975421394    2.54520024578715   4.38702499999997
0.55   1.54979791709664    2.55020208290446   4.40249999999997
0.555   1.55479607997934    2.55520392002177   4.41802499999997
0.56   1.55979424286203    2.56020575713909   4.43359999999997
0.565   1.56479240574473    2.5652075942564   4.44922499999997
0.57   1.56979056862743    2.57020943137371   4.46489999999996
0.575   1.57478873151012    2.57521126849103   4.48062499999996
0.58   1.57978689439282    2.58021310560834   4.49639999999996
0.585   1.58478505727552    2.58521494272565   4.51222499999996
