#      t_n         th_n        vth_n       Rx          Ry          
       14.1       -1.43509      3.61641         10.5755        -18.137        
       14.105       -1.41686      3.6892         11.3361        -17.8182        
       14.11       -1.39827      3.76177         12.1008        -17.4644        
       14.115       -1.37932      3.8341         12.8678        -17.0743        
       14.12       -1.36      3.90617         13.6351        -16.6467        
       14.125       -1.34033      3.97793         14.4006        -16.1806        
       14.13       -1.3203      4.04935         15.1623        -15.6749        
       14.135       -1.29991      4.1204         15.9177        -15.1287        
       14.14       -1.27916      4.19104         16.6644        -14.5413        
       14.145       -1.25807      4.26123         17.3999        -13.9119        
       14.15       -1.23662      4.33094         18.1215        -13.2402        
       14.155       -1.21483      4.40012         18.8265        -12.5258        
       14.16       -1.19269      4.46874         19.5119        -11.7684        
       14.165       -1.17021      4.53674         20.1748        -10.9681        
       14.17       -1.14739      4.60409         20.8122        -10.1252        
       14.175       -1.12424      4.67075         21.421        -9.23999        
       14.18       -1.10075      4.73665         21.998        -8.31315        
       14.185       -1.07694      4.80176         22.54        -7.34553        
       14.19       -1.0528      4.86603         23.0439        -6.33826        
       14.195       -1.02834      4.92941         23.5063        -5.29268        
       14.2       -1.00357      4.99186         23.9242        -4.2104        
       14.205       -0.978489      5.05331         24.2944        -3.0933        
       14.21       -0.953101      5.11371         24.6137        -1.9435        
       14.215       -0.927413      5.17303         24.8791        -0.763419        
       14.22       -0.901431      5.2312         25.0878        0.444287        
       14.225       -0.875161      5.28817         25.237        1.67668        
       14.23       -0.848608      5.34389         25.324        2.93056        
       14.235       -0.821779      5.39831         25.3464        4.20248        
       14.24       -0.794681      5.45137         25.3019        5.48874        
       14.245       -0.76732      5.50302         25.1886        6.78542        
       14.25       -0.739704      5.55321         25.0046        8.08837        
       14.255       -0.71184      5.60189         24.7485        9.39323        
       14.26       -0.683736      5.64901         24.4192        10.6955        
       14.265       -0.655399      5.69451         24.0156        11.9904        
       14.27       -0.626838      5.73834         23.5374        13.2731        
       14.275       -0.598062      5.78047         22.9842        14.5388        
       14.28       -0.569078      5.82083         22.3564        15.7823        
       14.285       -0.539896      5.85938         21.6545        16.9986        
       14.29       -0.510525      5.89608         20.8795        18.1826        
       14.295       -0.480974      5.93089         20.0326        19.3292        
       14.3       -0.451253      5.96376         19.1158        20.4334        
       14.305       -0.421372      5.99466         18.1312        21.4902        
       14.31       -0.39134      6.02353         17.0814        22.4948        
       14.315       -0.361168      6.05036         15.9692        23.4425        
       14.32       -0.330866      6.0751         14.7982        24.3288        
       14.325       -0.300444      6.09773         13.572        25.1495        
       14.33       -0.269914      6.11821         12.2946        25.9006        
       14.335       -0.239285      6.13653         10.9706        26.5784        
       14.34       -0.208569      6.15264         9.60452        27.1795        
       14.345       -0.177777      6.16655         8.20144        27.7009        
       14.35       -0.14692      6.17821         6.76658        28.14        
       14.355       -0.11601      6.18763         5.30537        28.4945        
       14.36       -0.0850561      6.19479         3.82345        28.7626        
       14.365       -0.0540715      6.19968         2.32657        28.943        
       14.37       -0.023067      6.20229         0.820623        29.0346        
       14.375       0.00794602      6.20261         -0.688478        29.0371        
       14.38       0.0389561      6.20066         -2.19477        28.9504        
       14.385       0.0699519      6.19643         -3.69234        28.775        
       14.39       0.100922      6.18992         -5.17529        28.5117        
       14.395       0.131855      6.18115         -6.63785        28.162        
       14.4       0.16274      6.17013         -8.07441        27.7276        
       14.405       0.193565      6.15687         -9.47948        27.2108        
       14.41       0.224319      6.14139         -10.8478        26.614        
       14.415       0.254991      6.1237         -12.1745        25.9405        
       14.42       0.285571      6.10384         -13.4547        25.1934        
       14.425       0.316047      6.08183         -14.684        24.3765        
       14.43       0.346409      6.05769         -15.8584        23.4938        
       14.435       0.376646      6.03146         -16.974        22.5494        
       14.44       0.406747      6.00317         -18.0276        21.5479        
       14.445       0.436703      5.97285         -19.0162        20.4939        
       14.45       0.466503      5.94055         -19.937        19.3923        
       14.455       0.496138      5.90629         -20.788        18.248        
       14.46       0.525598      5.87013         -21.5674        17.066        
       14.465       0.554874      5.8321         -22.2737        15.8514        
       14.47       0.583955      5.79226         -22.9059        14.6093        
       14.475       0.612834      5.75063         -23.4635        13.3448        
       14.48       0.641501      5.70729         -23.9462        12.0629        
       14.485       0.669948      5.66226         -24.3542        10.7686        
       14.49       0.698167      5.6156         -24.6881        9.46671        
       14.495       0.726149      5.56737         -24.9486        8.16195        
       14.5       0.753887      5.51761         -25.1369        6.85884        
       14.505       0.781373      5.46637         -25.2545        5.56177        
       14.51       0.8086      5.41371         -25.3031        4.27489        
       14.515       0.835561      5.35968         -25.2848        3.00213        
       14.52       0.862249      5.30433         -25.2018        1.74722        
       14.525       0.888658      5.24771         -25.0564        0.513615        
       14.53       0.914782      5.18988         -24.8514        -0.695479        
       14.535       0.940613      5.13089         -24.5895        -1.87711        
       14.54       0.966148      5.07079         -24.2736        -3.02859        
       14.545       0.99138      5.00963         -23.9067        -4.14751        
       14.55       1.0163      4.94747         -23.4919        -5.23172        
       14.555       1.04092      4.88435         -23.0323        -6.27933        
       14.56       1.06521      4.82033         -22.5312        -7.28872        
       14.565       1.08918      4.75546         -21.9918        -8.25851        
       14.57       1.11283      4.68978         -21.4172        -9.1876        
       14.575       1.13614      4.62334         -20.8106        -10.0751        
       14.58       1.15913      4.55618         -20.1753        -10.9204        
       14.585       1.18177      4.48836         -19.5142        -11.723        
       14.59       1.20408      4.41992         -18.8306        -12.4827        
       14.595       1.22604      4.35089         -18.1272        -13.1995        
       14.6       1.24766      4.28133         -17.407        -13.8735        
       14.605       1.26892      4.21127         -16.6728        -14.5052        
       14.61       1.28984      4.14076         -15.9272        -15.0949        
       14.615       1.3104      4.06982         -15.1728        -15.6433        
       14.62       1.33061      3.9985         -14.412        -16.1513        
       14.625       1.35046      3.92684         -13.6472        -16.6196        
       14.63       1.36995      3.85486         -12.8806        -17.0492        
       14.635       1.38908      3.7826         -12.1141        -17.4414        
       14.64       1.40784      3.71009         -11.3499        -17.7972        
       14.645       1.42625      3.63736         -10.5896        -18.1179        
       14.65       1.44429      3.56445         -9.83496        -18.4047        
       14.655       1.46197      3.49136         -9.08757        -18.6592        
       14.66       1.47928      3.41815         -8.34884        -18.8825        
       14.665       1.49622      3.34482         -7.62009        -19.0763        
       14.67       1.5128      3.27139         -6.90252        -19.2419        
       14.675       1.52901      3.19791         -6.19721        -19.3807        
       14.68       1.54485      3.12437         -5.50514        -19.4943        
       14.685       1.56033      3.05081         -4.82717        -19.5842        
       14.69       1.57543      2.97723         -4.16409        -19.6517        
       14.695       1.59017      2.90366         -3.51655        -19.6984        
       14.7       1.60454      2.83012         -2.88515        -19.7256        
       14.705       1.61855      2.75661         -2.27038        -19.7348        
       14.71       1.63218      2.68315         -1.67266        -19.7273        
       14.715       1.64545      2.60975         -1.09233        -19.7046        
       14.72       1.65835      2.53643         -0.52966        -19.6678        
       14.725       1.67089      2.46319         0.0151432        -19.6184        
       14.73       1.68306      2.39004         0.541931        -19.5576        
       14.735       1.69486      2.31698         1.05061        -19.4865        
       14.74       1.7063      2.24404         1.54115        -19.4064        
       14.745       1.71738      2.17121         2.01354        -19.3183        
       14.75       1.72809      2.09849         2.46783        -19.2233        
       14.755       1.73843      2.0259         2.9041        -19.1225        
       14.76       1.74842      1.95343         3.32247        -19.0169        
       14.765       1.75804      1.88109         3.72307        -18.9074        
       14.77       1.7673      1.80888         4.10608        -18.7949        
       14.775       1.7762      1.7368         4.47168        -18.6802        
       14.78       1.78474      1.66485         4.82007        -18.5643        
       14.785       1.79292      1.59303         5.15148        -18.4479        
       14.79       1.80074      1.52134         5.46614        -18.3317        
       14.795       1.80821      1.44978         5.76428        -18.2163        
       14.8       1.81531      1.37834         6.04614        -18.1026        
       14.805       1.82206      1.30703         6.31198        -17.991        
       14.81       1.82846      1.23584         6.56204        -17.8821        
       14.815       1.83449      1.16476         6.79657        -17.7765        
       14.82       1.84017      1.09379         7.01581        -17.6748        
       14.825       1.8455      1.02294         7.22        -17.5772        
       14.83       1.85047      0.952179         7.40936        -17.4844        
       14.835       1.85509      0.88152         7.58412        -17.3966        
       14.84       1.85936      0.810952         7.74449        -17.3142        
       14.845       1.86327      0.740469         7.89067        -17.2376        
       14.85       1.86684      0.670065         8.02284        -17.1671        
       14.855       1.87005      0.599733         8.14118        -17.103        
       14.86       1.8729      0.529466         8.24584        -17.0454        
       14.865       1.87541      0.459256         8.33697        -16.9947        
       14.87       1.87757      0.389098         8.41469        -16.9509        
       14.875       1.87937      0.318982         8.47912        -16.9142        
       14.88       1.88083      0.248903         8.53033        -16.8849        
       14.885       1.88193      0.178851         8.56842        -16.8629        
       14.89       1.88268      0.108819         8.59342        -16.8484        
       14.895       1.88309      0.0388         8.60538        -16.8413        
       14.9       1.88314      -0.031215         8.60432        -16.8418        
       14.905       1.88285      -0.101233         8.59023        -16.8498        
       14.91       1.8822      -0.171263         8.56309        -16.8654        
       14.915       1.8812      -0.241313         8.52287        -16.8883        
       14.92       1.87986      -0.311389         8.46951        -16.9187        
       14.925       1.87816      -0.3815         8.40293        -16.9562        
       14.93       1.87611      -0.451653         8.32304        -17.001        
       14.935       1.87371      -0.521857         8.22972        -17.0526        
       14.94       1.87096      -0.592118         8.12285        -17.1111        
       14.945       1.86786      -0.662442         8.00229        -17.1761        
       14.95       1.86441      -0.732839         7.86788        -17.2474        
       14.955       1.8606      -0.803313         7.71943        -17.3248        
       14.96       1.85645      -0.873871         7.55676        -17.4079        
       14.965       1.85194      -0.94452         7.37968        -17.4964        
       14.97       1.84707      -1.01527         7.18797        -17.5899        
       14.975       1.84185      -1.08611         6.9814        -17.6881        
       14.98       1.83628      -1.15707         6.75975        -17.7904        
       14.985       1.83035      -1.22813         6.52278        -17.8965        
       14.99       1.82407      -1.29931         6.27024        -18.0057        
       14.995       1.81743      -1.37061         6.0019        -18.1177        
       15       1.81044      -1.44203         5.71749        -18.2317        
       15.005       1.80308      -1.51358         5.41678        -18.3473        
       15.01       1.79537      -1.58526         5.09952        -18.4636        
       15.015       1.7873      -1.65706         4.76547        -18.5801        
       15.02       1.77887      -1.729         4.41441        -18.6959        
       15.025       1.77008      -1.80106         4.04611        -18.8104        
       15.03       1.76093      -1.87326         3.66038        -18.9226        
       15.035       1.75142      -1.94559         3.25703        -19.0318        
       15.04       1.74155      -2.01804         2.83589        -19.1369        
       15.045       1.73132      -2.09062         2.39683        -19.2371        
       15.05       1.72072      -2.16332         1.93974        -19.3313        
       15.055       1.70975      -2.23614         1.46454        -19.4185        
       15.06       1.69843      -2.30908         0.971186        -19.4976        
       15.065       1.68674      -2.38212         0.459686        -19.5676        
       15.07       1.67468      -2.45526         -0.0699146        -19.6271        
       15.075       1.66226      -2.52849         -0.617517        -19.6751        
       15.08       1.64947      -2.60181         -1.18297        -19.7102        
       15.085       1.63631      -2.6752         -1.76605        -19.7311        
       15.09       1.62279      -2.74865         -2.36649        -19.7366        
       15.095       1.6089      -2.82215         -2.98393        -19.7253        
       15.1       1.59464      -2.8957         -3.61795        -19.6958        
       15.105       1.58002      -2.96926         -4.26803        -19.6467        
       15.11       1.56502      -3.04284         -4.93359        -19.5765        
       15.115       1.54966      -3.1164         -5.61394        -19.4838        
       15.12       1.53393      -3.18994         -6.3083        -19.3672        
       15.125       1.51784      -3.26344         -7.01578        -19.2251        
       15.13       1.50137      -3.33687         -7.73539        -19.0562        
       15.135       1.48454      -3.41021         -8.46605        -18.8588        
       15.14       1.46734      -3.48344         -9.20652        -18.6317        
       15.145       1.44978      -3.55654         -9.95549        -18.3734        
       15.15       1.43185      -3.62947         -10.7115        -18.0824        
       15.155       1.41356      -3.70222         -11.473        -17.7574        
       15.16       1.3949      -3.77475         -12.2382        -17.3972        
       15.165       1.37588      -3.84704         -13.0054        -17.0005        
       15.17       1.3565      -3.91905         -13.7725        -16.5661        
       15.175       1.33676      -3.99075         -14.5375        -16.0929        
       15.18       1.31667      -4.06211         -15.2982        -15.58        
       15.185       1.29622      -4.13309         -16.0522        -15.0264        
       15.19       1.27541      -4.20365         -16.7972        -14.4316        
       15.195       1.25425      -4.27376         -17.5304        -13.7947        
       15.2       1.23274      -4.34338         -18.2492        -13.1153        
       15.205       1.21089      -4.41247         -18.9509        -12.3932        
       15.21       1.18869      -4.48097         -19.6325        -11.6281        
       15.215       1.16615      -4.54887         -20.2911        -10.8202        
       15.22       1.14327      -4.61609         -20.9236        -9.96963        
       15.225       1.12005      -4.68261         -21.5269        -9.0769        
       15.23       1.09651      -4.74838         -22.0978        -8.14268        
       15.235       1.07264      -4.81335         -22.6332        -7.16787        
       15.24       1.04844      -4.87746         -23.1299        -6.15362        
       15.245       1.02393      -4.94068         -23.5846        -5.10134        
       15.25       0.999098      -5.00294         -23.9942        -4.01267        
       15.255       0.97396      -5.06421         -24.3554        -2.88954        
       15.26       0.948519      -5.12443         -24.6653        -1.73413        
       15.265       0.922778      -5.18354         -24.9208        -0.548891        
       15.27       0.896744      -5.2415         -25.119        0.663463        
       15.275       0.870422      -5.29825         -25.2572        1.89995        
       15.28       0.843819      -5.35374         -25.3328        3.15732        
       15.285       0.816942      -5.40792         -25.3434        4.43209        
       15.29       0.789796      -5.46073         -25.2867        5.72052        
       15.295       0.762389      -5.51213         -25.1608        7.01864        
       15.3       0.734728      -5.56205         -24.9641        8.32225        
       15.305       0.70682      -5.61045         -24.6949        9.62697        
       15.31       0.678674      -5.65728         -24.3523        10.9282        
       15.315       0.650296      -5.70249         -23.9354        12.2213        
       15.32       0.621696      -5.74602         -23.4437        13.5014        
       15.325       0.592882      -5.78783         -22.8772        14.7635        
       15.33       0.563862      -5.82787         -22.236        16.0025        
       15.335       0.534645      -5.8661         -21.5209        17.2134        
       15.34       0.505241      -5.90246         -20.7329        18.3911        
       15.345       0.475659      -5.93693         -19.8734        19.5304        
       15.35       0.445909      -5.96945         -18.9443        20.6265        
       15.355       0.415999      -5.99998         -17.9477        21.6743        
       15.36       0.385942      -6.02849         -16.8865        22.669        
       15.365       0.355745      -6.05495         -15.7636        23.606        
       15.37       0.325421      -6.07932         -14.5824        24.4809        
       15.375       0.294979      -6.10156         -13.3467        25.2894        
       15.38       0.26443      -6.12166         -12.0606        26.0276        
       15.385       0.233785      -6.13958         -10.7287        26.6919        
       15.39       0.203055      -6.1553         -9.3556        27.2789        
       15.395       0.172251      -6.1688         -7.94643        27.7857        
       15.4       0.141383      -6.18007         -6.50644        28.2098        
       15.405       0.110464      -6.18908         -5.0411        28.5489        
       15.41       0.0795042      -6.19583         -3.55607        28.8014        
       15.415       0.0485152      -6.20031         -2.05713        28.9659        
       15.42       0.0175083      -6.20251         -0.550181        29.0416        
       15.425       -0.013505      -6.20243         0.958855        29.0281        
       15.43       -0.0445134      -6.20007         2.46402        28.9255        
       15.435       -0.0755054      -6.19543         3.95939        28.7342        
       15.44       -0.10647      -6.18852         5.43911        28.4554        
       15.445       -0.137395      -6.17934         6.89743        28.0903        
       15.45       -0.16827      -6.16792         8.32873        27.641        
       15.455       -0.199083      -6.15426         9.72761        27.1096        
       15.46       -0.229823      -6.13838         11.0888        26.4989        
       15.465       -0.26048      -6.1203         12.4075        25.8119        
       15.47       -0.291042      -6.10005         13.6789        25.052        
       15.475       -0.321498      -6.07766         14.8986        24.223        
       15.48       -0.351838      -6.05314         16.0628        23.3289        
       15.485       -0.382051      -6.02654         17.1675        22.374        
       15.49       -0.412128      -5.99788         18.2097        21.3627        
       15.495       -0.442056      -5.96721         19.1863        20.2998        
       15.5       -0.471828      -5.93455         20.0948        19.1902        
       15.505       -0.501432      -5.89995         20.933        18.0387        
       15.51       -0.53086      -5.86345         21.6994        16.8505        
       15.515       -0.560101      -5.82509         22.3925        15.6306        
       15.52       -0.589147      -5.78492         23.0113        14.3841        
       15.525       -0.617988      -5.74299         23.5555        13.1162        
       15.53       -0.646617      -5.69934         24.0248        11.8317        
       15.535       -0.675023      -5.65402         24.4195        10.5357        
       15.54       -0.7032      -5.60707         24.7401        9.23292        
       15.545       -0.731139      -5.55856         24.9876        7.92812        
       15.55       -0.758832      -5.50853         25.1631        6.62578        
       15.555       -0.786273      -5.45703         25.2682        5.33023        
       15.56       -0.813453      -5.40412         25.3047        4.0456        
       15.565       -0.840365      -5.34985         25.2746        2.77578        
       15.57       -0.867004      -5.29427         25.1802        1.52444        
       15.575       -0.893362      -5.23743         25.024        0.294996        
       15.58       -0.919433      -5.17939         24.8086        -0.909385        
       15.585       -0.945212      -5.12019         24.5368        -2.0858        
       15.59       -0.970693      -5.0599         24.2115        -3.23162        
       15.595       -0.995871      -4.99856         23.8358        -4.34447        
       15.6       -1.02074      -4.93623         23.4127        -5.42225        
       15.605       -1.04529      -4.87294         22.9455        -6.46311        
       15.61       -1.06953      -4.80877         22.4373        -7.4655        
       15.615       -1.09344      -4.74374         21.8913        -8.42807        
       15.62       -1.11703      -4.67792         21.3107        -9.34976        
       15.625       -1.14029      -4.61135         20.6988        -10.2297        
       15.63       -1.16321      -4.54407         20.0586        -11.0674        
       15.635       -1.1858      -4.47614         19.3933        -11.8623        
       15.64       -1.20804      -4.40759         18.7058        -12.6143        
       15.645       -1.22994      -4.33846         17.9993        -13.3234        
       15.65       -1.25149      -4.26881         17.2763        -13.9899        
       15.655       -1.2727      -4.19866         16.5399        -14.6139        
       15.66       -1.29355      -4.12807         15.7925        -15.1962        
       15.665       -1.31405      -4.05706         15.0368        -15.7373        
       15.67       -1.33419      -3.98568         14.2752        -16.2381        
       15.675       -1.35398      -3.91396         13.5099        -16.6994        
       15.68       -1.3734      -3.84192         12.7431        -17.1223        
       15.685       -1.39247      -3.76962         11.9769        -17.5078        
       15.69       -1.41117      -3.69707         11.2132        -17.8572        
       15.695       -1.42951      -3.62431         10.4539        -18.1717        
       15.7       -1.44749      -3.55136         9.70042        -18.4527        
       15.705       -1.4651      -3.47825         8.95448        -18.7015        
       15.71       -1.48234      -3.40501         8.21744        -18.9194        
       15.715       -1.49922      -3.33166         7.49061        -19.108        
       15.72       -1.51573      -3.25823         6.77516        -19.2687        
       15.725       -1.53187      -3.18473         6.07215        -19.4029        
       15.73       -1.54765      -3.11119         5.38255        -19.5122        
       15.735       -1.56306      -3.03762         4.7072        -19.5979        
       15.74       -1.5781      -2.96404         4.04686        -19.6616        
       15.745       -1.59277      -2.89048         3.40217        -19.7046        
       15.75       -1.60708      -2.81694         2.77372        -19.7285        
       15.755       -1.62102      -2.74344         2.16198        -19.7346        
       15.76       -1.63459      -2.66999         1.56735        -19.7243        
       15.765       -1.64779      -2.5966         0.990167        -19.699        
       15.77       -1.66063      -2.52329         0.430686        -19.6599        
       15.775       -1.6731      -2.45007         -0.110897        -19.6083        
       15.78       -1.6852      -2.37693         -0.634445        -19.5456        
       15.785       -1.69694      -2.3039         -1.13988        -19.4728        
       15.79       -1.70831      -2.23098         -1.62716        -19.3911        
       15.795       -1.71932      -2.15816         -2.0963        -19.3017        
       15.8       -1.72997      -2.08547         -2.54735        -19.2056        
       15.805       -1.74025      -2.0129         -2.9804        -19.1039        
       15.81       -1.75017      -1.94046         -3.39558        -18.9975        
       15.815       -1.75973      -1.86814         -3.79301        -18.8874        
       15.82       -1.76892      -1.79595         -4.17289        -18.7744        
       15.825       -1.77776      -1.72389         -4.53539        -18.6595        
       15.83       -1.78623      -1.65197         -4.88072        -18.5435        
       15.835       -1.79435      -1.58017         -5.20911        -18.427        
       15.84       -1.80211      -1.5085         -5.52079        -18.3109        
       15.845       -1.80951      -1.43696         -5.81599        -18.1958        
       15.85       -1.81655      -1.36555         -6.09496        -18.0824        
       15.855       -1.82323      -1.29426         -6.35796        -17.9712        
       15.86       -1.82956      -1.22309         -6.60522        -17.8629        
       15.865       -1.83554      -1.15203         -6.83699        -17.758        
       15.87       -1.84115      -1.08108         -7.05351        -17.6569        
       15.875       -1.84642      -1.01024         -7.25502        -17.5602        
       15.88       -1.85133      -0.939507         -7.44175        -17.4682        
       15.885       -1.85588      -0.868865         -7.61392        -17.3814        
       15.89       -1.86009      -0.798312         -7.77173        -17.3001        
       15.895       -1.86394      -0.727844         -7.91539        -17.2246        
       15.9       -1.86744      -0.657453         -8.04507        -17.1552        
       15.905       -1.87058      -0.587133         -8.16094        -17.0922        
       15.91       -1.87338      -0.516877         -8.26317        -17.0358        
       15.915       -1.87582      -0.446677         -8.35189        -16.9863        
       15.92       -1.87792      -0.376527         -8.42722        -16.9438        
       15.925       -1.87966      -0.306418         -8.48927        -16.9084        
       15.93       -1.88105      -0.236344         -8.53813        -16.8804        
       15.935       -1.88209      -0.166297         -8.57386        -16.8597        
       15.94       -1.88278      -0.0962678         -8.59652        -16.8465        
       15.945       -1.88312      -0.0262499         -8.60615        -16.8409        
       15.95       -1.88312      0.0437651         -8.60275        -16.8427        
       15.955       -1.88276      0.113785         -8.58633        -16.8521        
       15.96       -1.88205      0.183818         -8.55685        -16.8689        
       15.965       -1.88099      0.253871         -8.51428        -16.8932        
       15.97       -1.87958      0.323953         -8.45855        -16.9249        
       15.975       -1.87782      0.394071         -8.38959        -16.9637        
       15.98       -1.87571      0.464233         -8.3073        -17.0097        
       15.985       -1.87325      0.534447         -8.21157        -17.0626        
       15.99       -1.87043      0.604718         -8.10226        -17.1223        
       15.995       -1.86727      0.675055         -7.97922        -17.1884        
       16       -1.86375      0.745465         -7.8423        -17.2609        
       16.005       -1.85989      0.815954         -7.69132        -17.3393        
       16.01       -1.85566      0.886528         -7.52609        -17.4234        
       16.015       -1.85109      0.957194         -7.3464        -17.5128        
       16.02       -1.84616      1.02796         -7.15204        -17.6072        
       16.025       -1.84088      1.09882         -6.94279        -17.7061        
       16.03       -1.83525      1.1698         -6.71841        -17.8091        
       16.035       -1.82925      1.24088         -6.47866        -17.9158        
       16.04       -1.82291      1.31208         -6.22331        -18.0256        
       16.045       -1.8162      1.3834         -5.9521        -18.138        
       16.05       -1.80914      1.45485         -5.66479        -18.2524        
       16.055       -1.80173      1.52642         -5.36113        -18.3681        
       16.06       -1.79395      1.59812         -5.04088        -18.4845        
       16.065       -1.78582      1.66995         -4.7038        -18.6009        
       16.07       -1.77732      1.74191         -4.34967        -18.7166        
       16.075       -1.76847      1.814         -3.97826        -18.8307        
       16.08       -1.75926      1.88622         -3.58938        -18.9424        
       16.085       -1.74968      1.95857         -3.18285        -19.0509        
       16.09       -1.73974      2.03104         -2.75851        -19.1552        
       16.095       -1.72944      2.10365         -2.31623        -19.2544        
       16.1       -1.71878      2.17637         -1.8559        -19.3475        
       16.105       -1.70775      2.24921         -1.37744        -19.4333        
       16.11       -1.69636      2.32216         -0.880835        -19.5109        
       16.115       -1.6846      2.39522         -0.366086        -19.579        
       16.12       -1.67248      2.46838         0.16675        -19.6366        
       16.125       -1.65999      2.54163         0.717565        -19.6823        
       16.13       -1.64714      2.61496         1.28619        -19.715        
       16.135       -1.63392      2.68836         1.87241        -19.7333        
       16.14       -1.62033      2.76182         2.47592        -19.7359        
       16.145       -1.60637      2.83533         3.09637        -19.7214        
       16.15       -1.59205      2.90888         3.73331        -19.6885        
       16.155       -1.57736      2.98245         4.38621        -19.6357        
       16.16       -1.5623      3.05602         5.05448        -19.5616        
       16.165       -1.54687      3.12959         5.73739        -19.4647        
       16.17       -1.53107      3.20312         6.43417        -19.3436        
       16.175       -1.51491      3.2766         7.1439        -19.1969        
       16.18       -1.49838      3.35002         7.86558        -19.0229        
       16.185       -1.48148      3.42334         8.59809        -18.8204        
       16.19       -1.46422      3.49655         9.34019        -18.5877        
       16.195       -1.44659      3.56962         10.0905        -18.3236        
       16.2       -1.4286      3.64253         10.8476        -18.0267        
       16.205       -1.41024      3.71524         11.6099        -17.6955        
       16.21       -1.39152      3.78773         12.3756        -17.3288        
       16.215       -1.37244      3.85997         13.1429        -16.9254        
       16.22       -1.35299      3.93193         13.9098        -16.4841        
       16.225       -1.33319      4.00357         14.6742        -16.0039        
       16.23       -1.31303      4.07486         15.4339        -15.4838        
       16.235       -1.29251      4.14577         16.1865        -14.9229        
       16.24       -1.27164      4.21626         16.9295        -14.3205        
       16.245       -1.25042      4.28628         17.6604        -13.676        
       16.25       -1.22885      4.35581         18.3763        -12.989        
       16.255       -1.20693      4.42479         19.0746        -12.2592        
       16.26       -1.18467      4.49319         19.7523        -11.4864        
       16.265       -1.16207      4.56097         20.4064        -10.6708        
       16.27       -1.13913      4.62807         21.0339        -9.81269        
       16.275       -1.11586      4.69446         21.6317        -8.91247        
       16.28       -1.09225      4.76009         22.1965        -7.9709        
       16.285       -1.06832      4.8249         22.7252        -6.98893        
       16.29       -1.04407      4.88886         23.2146        -5.96775        
       16.295       -1.0195      4.95191         23.6614        -4.90882        
       16.3       -0.994615      5.014         24.0626        -3.81383        
       16.305       -0.969422      5.07508         24.4148        -2.68474        
       16.31       -0.943926      5.13511         24.7152        -1.5238        
       16.315       -0.918133      5.19402         24.9606        -0.333492        
       16.32       -0.892047      5.25176         25.1483        0.883415        
       16.325       -0.865674      5.30829         25.2754        2.12389        
       16.33       -0.839022      5.36355         25.3396        3.38465        
       16.335       -0.812096      5.41749         25.3382        4.66215        
       16.34       -0.784902      5.47005         25.2693        5.95261        
       16.345       -0.757449      5.52119         25.1308        7.25202        
       16.35       -0.729743      5.57084         24.9212        8.55617        
       16.355       -0.701792      5.61897         24.639        9.86061        
       16.36       -0.673604      5.66551         24.2831        11.1608        
       16.365       -0.645186      5.71042         23.8528        12.4519        
       16.37       -0.616547      5.75364         23.3477        13.7291        
       16.375       -0.587695      5.79514         22.7677        14.9874        
       16.38       -0.558639      5.83486         22.1133        16.2218        
       16.385       -0.529388      5.87276         21.385        17.4271        
       16.39       -0.499951      5.90878         20.5841        18.5983        
       16.395       -0.470338      5.9429         19.7119        19.7302        
       16.4       -0.440559      5.97507         18.7705        20.818        
       16.405       -0.410622      6.00524         17.7622        21.8566        
       16.41       -0.380539      6.03339         16.6897        22.8413        
       16.415       -0.350319      6.05947         15.556        23.7675        
       16.42       -0.319973      6.08346         14.3647        24.6308        
       16.425       -0.289511      6.10532         13.1197        25.427        
       16.43       -0.258944      6.12503         11.8251        26.1522        
       16.435       -0.228283      6.14256         10.4854        26.8028        
       16.44       -0.197539      6.15788         9.10552        27.3757        
       16.445       -0.166722      6.17099         7.69043        27.8679        
       16.45       -0.135845      6.18185         6.24548        28.2769        
       16.455       -0.104917      6.19046         4.77619        28.6006        
       16.46       -0.0739513      6.1968         3.28824        28.8374        
       16.465       -0.0429582      6.20088         1.78744        28.986        
       16.47       -0.0119494      6.20267         0.279671        29.0458        
       16.475       0.0190639      6.20218         -1.22911        29.0163        
       16.48       0.0500701      6.19941         -2.73295        28.8977        
       16.485       0.081058      6.19436         -4.22595        28.6907        
       16.49       0.112016      6.18704         -5.70225        28.3962        
       16.495       0.142933      6.17746         -7.15613        28.0159        
       16.5       0.173798      6.16563         -8.58201        27.5517        
       16.505       0.204598      6.15157         -9.97452        27.0059        
       16.51       0.235325      6.1353         -11.3285        26.3812        
       16.515       0.265965      6.11683         -12.639        25.6809        
       16.52       0.296509      6.0962         -13.9014        24.9084        
       16.525       0.326945      6.07342         -15.1115        24.0674        
       16.53       0.357263      6.04853         -16.2653        23.1621        
       16.535       0.387453      6.02155         -17.359        22.1967        
       16.54       0.417503      5.99253         -18.3896        21.1759        
       16.545       0.447405      5.9615         -19.3542        20.1042        
       16.55       0.477147      5.92849         -20.2502        18.9867        
       16.555       0.50672      5.89354         -21.0757        17.8283        
       16.56       0.536115      5.85671         -21.829        16.634        
       16.565       0.565322      5.81802         -22.5089        15.409        
       16.57       0.594332      5.77754         -23.1144        14.1583        
       16.575       0.623136      5.73529         -23.6452        12.887        
       16.58       0.651725      5.69134         -24.1011        11.6001        
       16.585       0.680091      5.64572         -24.4824        10.3025        
       16.59       0.708226      5.59849         -24.7898        8.99905        
