#      t_n         th_n        vth_n       Rx          Ry          
       0.88       -0.853467      -5.32275         25.2362        2.15942        
       0.885       -0.879969      -5.26654         25.1111        0.91841        
       0.89       -0.906187      -5.20911         24.9255        -0.299118        
       0.895       -0.932116      -5.15049         24.6821        -1.49013        
       0.9       -0.957749      -5.09075         24.3837        -2.65185        
       0.905       -0.983082      -5.02994         24.0333        -3.78177        
       0.91       -1.00811      -4.9681         23.634        -4.87766        
       0.915       -1.03282      -4.9053         23.1888        -5.93755        
       0.92       -1.05722      -4.84157         22.7011        -6.95972        
       0.925       -1.0813      -4.77697         22.1739        -7.94273        
       0.93       -1.10506      -4.71155         21.6106        -8.88537        
       0.935       -1.12848      -4.64536         21.0142        -9.78668        
       0.94       -1.15158      -4.57843         20.3881        -10.6459        
       0.945       -1.17433      -4.51083         19.7352        -11.4627        
       0.95       -1.19675      -4.44258         19.0586        -12.2366        
       0.955       -1.21883      -4.37375         18.3614        -12.9675        
       0.96       -1.24056      -4.30436         17.6465        -13.6557        
       0.965       -1.26194      -4.23446         16.9166        -14.3013        
       0.97       -1.28297      -4.16409         16.1745        -14.9048        
       0.975       -1.30365      -4.09329         15.4227        -15.4668        
       0.98       -1.32397      -4.02209         14.6638        -15.988        
       0.985       -1.34394      -3.95054         13.9001        -16.4692        
       0.99       -1.36355      -3.87866         13.1338        -16.9116        
       0.995       -1.3828      -3.80649         12.3671        -17.316        
       1       -1.40169      -3.73406         11.6019        -17.6836        
       1.005       -1.42021      -3.6614         10.8401        -18.0158        
       1.01       -1.43837      -3.58854         10.0834        -18.3137        
       1.015       -1.45617      -3.51551         9.33348        -18.5787        
       1.02       -1.4736      -3.44234         8.59174        -18.8121        
       1.025       -1.49067      -3.36904         7.85955        -19.0155        
       1.03       -1.50736      -3.29565         7.13816        -19.1902        
       1.035       -1.5237      -3.22218         6.42869        -19.3377        
       1.04       -1.53966      -3.14866         5.73215        -19.4595        
       1.045       -1.55526      -3.0751         5.04944        -19.5571        
       1.05       -1.57048      -3.00153         4.38136        -19.6318        
       1.055       -1.58534      -2.92796         3.72862        -19.6852        
       1.06       -1.59984      -2.8544         3.09183        -19.7186        
       1.065       -1.61396      -2.78088         2.47152        -19.7336        
       1.07       -1.62772      -2.7074         1.86813        -19.7315        
       1.075       -1.64111      -2.63398         1.28202        -19.7137        
       1.08       -1.65413      -2.56063         0.713494        -19.6814        
       1.085       -1.66679      -2.48736         0.162772        -19.6361        
       1.09       -1.67908      -2.41418         -0.369978        -19.5789        
       1.095       -1.691      -2.3411         -0.884646        -19.511        
       1.1       -1.70256      -2.26811         -1.38117        -19.4338        
       1.105       -1.71376      -2.19525         -1.85955        -19.3482        
       1.11       -1.72459      -2.12249         -2.31981        -19.2553        
       1.115       -1.73506      -2.04986         -2.76202        -19.1564        
       1.12       -1.74516      -1.97735         -3.18629        -19.0522        
       1.125       -1.7549      -1.90496         -3.59274        -18.9439        
       1.13       -1.76428      -1.83271         -3.98154        -18.8323        
       1.135       -1.7733      -1.76059         -4.35286        -18.7183        
       1.14       -1.78196      -1.68859         -4.70692        -18.6027        
       1.145       -1.79026      -1.61673         -5.04391        -18.4864        
       1.15       -1.7982      -1.545         -5.36407        -18.37        
       1.155       -1.80578      -1.47339         -5.66764        -18.2543        
       1.16       -1.81301      -1.40192         -5.95485        -18.1399        
       1.165       -1.81987      -1.33056         -6.22595        -18.0276        
       1.17       -1.82638      -1.25933         -6.4812        -17.9177        
       1.175       -1.83254      -1.18822         -6.72083        -17.811        
       1.18       -1.83834      -1.11721         -6.94509        -17.7079        
       1.185       -1.84378      -1.04632         -7.15422        -17.6089        
       1.19       -1.84887      -0.975533         -7.34846        -17.5145        
       1.195       -1.85361      -0.904843         -7.52802        -17.425        
       1.2       -1.85799      -0.834245         -7.69311        -17.3408        
       1.205       -1.86202      -0.763735         -7.84396        -17.2623        
       1.21       -1.8657      -0.693305         -7.98073        -17.1897        
       1.215       -1.86902      -0.62295         -8.10362        -17.1235        
       1.22       -1.872      -0.552662         -8.21278        -17.0637        
       1.225       -1.87462      -0.482434         -8.30837        -17.0107        
       1.23       -1.87689      -0.41226         -8.3905        -16.9646        
       1.235       -1.87881      -0.342131         -8.45931        -16.9255        
       1.24       -1.88038      -0.27204         -8.51488        -16.8938        
       1.245       -1.8816      -0.20198         -8.55729        -16.8693        
       1.25       -1.88247      -0.131943         -8.58661        -16.8523        
       1.255       -1.88299      -0.0619204         -8.60287        -16.8428        
       1.26       -1.88316      0.0080951         -8.60611        -16.8408        
       1.265       -1.88298      0.0781115         -8.59632        -16.8464        
       1.27       -1.88245      0.148137         -8.5735        -16.8594        
       1.275       -1.88157      0.218179         -8.53761        -16.8799        
       1.28       -1.88034      0.288245         -8.48859        -16.9078        
       1.285       -1.87876      0.358344         -8.42638        -16.943        
       1.29       -1.87683      0.428483         -8.3509        -16.9854        
       1.295       -1.87454      0.498669         -8.26203        -17.0348        
       1.3       -1.87191      0.56891         -8.15965        -17.091        
       1.305       -1.86893      0.639213         -8.04363        -17.1539        
       1.31       -1.86559      0.709585         -7.9138        -17.2232        
       1.315       -1.8619      0.780032         -7.77001        -17.2986        
       1.32       -1.85786      0.850562         -7.61206        -17.3798        
       1.325       -1.85346      0.92118         -7.43976        -17.4666        
       1.33       -1.84872      0.991893         -7.25291        -17.5585        
       1.335       -1.84362      1.06271         -7.05127        -17.6552        
       1.34       -1.83816      1.13362         -6.83463        -17.7562        
       1.345       -1.83235      1.20465         -6.60274        -17.8611        
       1.35       -1.82619      1.27579         -6.35537        -17.9693        
       1.355       -1.81966      1.34705         -6.09227        -18.0805        
       1.36       -1.81279      1.41843         -5.8132        -18.1939        
       1.365       -1.80555      1.48994         -5.51789        -18.309        
       1.37       -1.79796      1.56157         -5.20613        -18.4252        
       1.375       -1.79001      1.63334         -4.87765        -18.5417        
       1.38       -1.7817      1.70523         -4.53223        -18.6578        
       1.385       -1.77303      1.77725         -4.16965        -18.7728        
       1.39       -1.764      1.84941         -3.78969        -18.8859        
       1.395       -1.7546      1.92169         -3.39218        -18.9961        
       1.4       -1.74485      1.9941         -2.97693        -19.1027        
       1.405       -1.73474      2.06664         -2.54381        -19.2046        
       1.41       -1.72426      2.1393         -2.09268        -19.3009        
       1.415       -1.71341      2.21209         -1.62346        -19.3905        
       1.42       -1.70221      2.28498         -1.13611        -19.4725        
       1.425       -1.69064      2.35799         -0.630595        -19.5456        
       1.43       -1.6787      2.43109         -0.106963        -19.6087        
       1.435       -1.6664      2.5043         0.434709        -19.6606        
       1.44       -1.65373      2.57759         0.994286        -19.7001        
       1.445       -1.6407      2.65095         1.57158        -19.7258        
       1.45       -1.6273      2.72439         2.16632        -19.7366        
       1.455       -1.61353      2.79788         2.77819        -19.731        
       1.46       -1.59939      2.87141         3.40678        -19.7076        
       1.465       -1.58489      2.94497         4.05162        -19.6652        
       1.47       -1.57001      3.01854         4.71214        -19.6021        
       1.475       -1.55477      3.09211         5.38769        -19.517        
       1.48       -1.53917      3.16566         6.07751        -19.4084        
       1.485       -1.52319      3.23917         6.78076        -19.2749        
       1.49       -1.50685      3.31263         7.49649        -19.115        
       1.495       -1.49014      3.386         8.22363        -18.9272        
       1.5       -1.47306      3.45927         8.961        -18.7101        
       1.505       -1.45562      3.53241         9.70732        -18.4622        
       1.51       -1.43781      3.60541         10.4612        -18.1821        
