#      t_n         x1_n         x2_n        y1_n       y2_n        vx1_n       vx2_n        vy1_n       vy2_n       
       1.44       7.1995       -11.5192      20.6694        20.6694        5         -8        -12.96          -12.96        
       1.445       7.2245       -11.5592      20.6045        20.6045        5         -8        -13.005          -13.005        
       1.45       7.2495       -11.5992      20.5394        20.5394        5         -8        -13.05          -13.05        
       1.455       7.2745       -11.6392      20.474        20.474        5         -8        -13.095          -13.095        
       1.46       7.2995       -11.6792      20.4085        20.4085        5         -8        -13.14          -13.14        
       1.465       7.3245       -11.7192      20.3426        20.3426        5         -8        -13.185          -13.185        
       1.47       7.3495       -11.7592      20.2766        20.2766        5         -8        -13.23          -13.23        
       1.475       7.3745       -11.7992      20.2104        20.2104        5         -8        -13.275          -13.275        
       1.48       7.3995       -11.8392      20.1439        20.1439        5         -8        -13.32          -13.32        
       1.485       7.4245       -11.8792      20.0772        20.0772        5         -8        -13.365          -13.365        
       1.49       7.4495       -11.9192      20.0102        20.0102        5         -8        -13.41          -13.41        
       1.495       7.4745       -11.9592      19.9431        19.9431        5         -8        -13.455          -13.455        
       1.5       7.4995       -11.9992      19.8757        19.8757        5         -8        -13.5          -13.5        
       1.505       7.5245       -12.0392      19.8081        19.8081        5         -8        -13.545          -13.545        
       1.51       7.5495       -12.0792      19.7402        19.7402        5         -8        -13.59          -13.59        
       1.515       7.5745       -12.1192      19.6722        19.6722        5         -8        -13.635          -13.635        
       1.52       7.5995       -12.1592      19.6039        19.6039        5         -8        -13.68          -13.68        
       1.525       7.6245       -12.1992      19.5354        19.5354        5         -8        -13.725          -13.725        
       1.53       7.6495       -12.2392      19.4666        19.4666        5         -8        -13.77          -13.77        
       1.535       7.6745       -12.2792      19.3977        19.3977        5         -8        -13.815          -13.815        
       1.54       7.6995       -12.3192      19.3285        19.3285        5         -8        -13.86          -13.86        
       1.545       7.7245       -12.3592      19.2591        19.2591        5         -8        -13.905          -13.905        
       1.55       7.7495       -12.3992      19.1894        19.1894        5         -8        -13.95          -13.95        
       1.555       7.7745       -12.4392      19.1196        19.1196        5         -8        -13.995          -13.995        
       1.56       7.7995       -12.4792      19.0495        19.0495        5         -8        -14.04          -14.04        
       1.565       7.8245       -12.5192      18.9792        18.9792        5         -8        -14.085          -14.085        
       1.57       7.8495       -12.5592      18.9087        18.9087        5         -8        -14.13          -14.13        
       1.575       7.8745       -12.5992      18.8379        18.8379        5         -8        -14.175          -14.175        
       1.58       7.8995       -12.6392      18.7669        18.7669        5         -8        -14.22          -14.22        
       1.585       7.9245       -12.6792      18.6957        18.6957        5         -8        -14.265          -14.265        
       1.59       7.9495       -12.7192      18.6243        18.6243        5         -8        -14.31          -14.31        
       1.595       7.9745       -12.7592      18.5526        18.5526        5         -8        -14.355          -14.355        
       1.6       7.9995       -12.7992      18.4807        18.4807        5         -8        -14.4          -14.4        
       1.605       8.0245       -12.8392      18.4086        18.4086        5         -8        -14.445          -14.445        
       1.61       8.0495       -12.8792      18.3363        18.3363        5         -8        -14.49          -14.49        
       1.615       8.0745       -12.9192      18.2637        18.2637        5         -8        -14.535          -14.535        
       1.62       8.0995       -12.9592      18.1909        18.1909        5         -8        -14.58          -14.58        
       1.625       8.1245       -12.9992      18.1179        18.1179        5         -8        -14.625          -14.625        
       1.63       8.1495       -13.0392      18.0447        18.0447        5         -8        -14.67          -14.67        
       1.635       8.1745       -13.0792      17.9712        17.9712        5         -8        -14.715          -14.715        
       1.64       8.1995       -13.1192      17.8975        17.8975        5         -8        -14.76          -14.76        
       1.645       8.2245       -13.1592      17.8236        17.8236        5         -8        -14.805          -14.805        
       1.65       8.2495       -13.1992      17.7495        17.7495        5         -8        -14.85          -14.85        
       1.655       8.2745       -13.2392      17.6751        17.6751        5         -8        -14.895          -14.895        
