#   x     ph    phteo     err 
0.205   0.851033634724729     0.849122425778975      0.00191120894575414
0.21   0.868732423651349     0.866781467750174      0.00195095590117567
0.215   0.886216865844506     0.884226644364134      0.00199022148037198
0.22   0.903482647279573     0.901453651284566      0.00202899599500694
0.225   0.920525507883192     0.918458238005283      0.00206726987790917
0.23   0.937341242584391     0.935236208898958      0.00210503368543247
0.235   0.953925702352113     0.951783424252327      0.00214227809978573
0.24   0.970274795218935     0.968095801287603      0.00217899393133203
0.245   0.986384487290697     0.98416931516984      0.0022151721208572
0.25   1.0022508037418     1      0.0022508037418032
0.255   1.01786982979595     1.01558394979348      0.00228588000247187
0.26   1.03323771169205     1.03091731944386      0.00232039224819358
0.265   1.04835065763508     1.04599632567161      0.00235433196346402
0.27   1.06320493873163     1.06081724795759      0.00238769077404366
0.275   1.07779688991     1.07537642946097      0.00242046044902366
0.28   1.09212291082445     1.08967027792159      0.0024526329028598
0.285   1.10617946674359     1.10369526654622      0.00248420019736484
0.29   1.11996308942245     1.11744793487878      0.00251515454366436
0.295   1.13347037795827     1.13092488965414      0.00254548830412671
0.3   1.14669799962961     1.14412280563537      0.00257519399423978
0.305   1.15964269071865     1.15703842643418      0.00260426428446148
0.31   1.17230125731644     1.16966856531441      0.00263269200202787
0.315   1.184670576111     1.18201010597828      0.00266047013272352
0.32   1.1967475951579     1.19406000333529      0.00268759182260836
0.325   1.2085293346333     1.20581528425358      0.00271405037971362
0.33   1.22001288756918     1.21727304829349      0.00273983927569077
0.335   1.23119542057059     1.22843046842317      0.00276495214742267
0.34   1.24207417451476     1.23928479171617      0.00278938279859142
0.345   1.25264646523185     1.24983334003063      0.00281312520121313
0.35   1.26290968416722     1.2600735106701      0.00283617349711851
0.355   1.2728612990251     1.27000277702569      0.00285852199940173
0.36   1.28249885439334     1.27961868919952      0.00288016519382395
0.365   1.2918199723493     1.28891887460912      0.00290109774017266
0.37   1.30082235304651     1.29790103857293      0.00292131447357935
0.375   1.30950377528217     1.30656296487638      0.00294081040579397
0.38   1.31786209704518     1.31490251631876      0.00295958072641689
0.385   1.32589525604464     1.32291763524055      0.00297762080408503
0.39   1.33360127021871     1.33060634403109      0.00299492618761299
0.395   1.34097823822362     1.33796674561653      0.00301149260709388
0.4   1.34802433990287     1.34499702392791      0.00302731597495165
0.405   1.35473783673622     1.35169544434927      0.00304239238695092
0.41   1.36111707226874     1.35806035414558      0.00305671812315689
0.415   1.36716047251946     1.3640901828706      0.00307028964885703
0.42   1.37286654636975     1.36978344275431      0.00308310361543174
0.425   1.37823388593122     1.37513872907004      0.00309515686117989
0.43   1.38326116689311     1.38015472048101      0.00310644641209978
0.435   1.38794714884902     1.3848301793664      0.00311696948262252
0.44   1.39229067560299     1.38916395212669      0.00312672347629972
0.445   1.39629067545475     1.3931549694683      0.00313570598644541
0.45   1.39994616146415     1.39680224666742      0.00314391479672604
0.455   1.40325623169469     1.40010488381297      0.00315134788171068
0.46   1.40622006943604     1.40306206602867      0.00315800340736994
0.465   1.40883694340556     1.40567306367404      0.00316387973152876
0.47   1.41110620792875     1.40793723252448      0.00316897540427097
0.475   1.41302730309851     1.40985401393021      0.00317328916829651
0.48   1.41459975491335     1.41142293495411      0.00317681995923413
0.485   1.41582317539428     1.41264360848838      0.00317956690589982
0.49   1.41669726268062     1.4135157333501      0.00318152933051641
0.495   1.41722180110438     1.4140390943555      0.003182706748877
0.5   1.41739666124356     1.4142135623731      0.0031830988704673
0.505   1.41722179995404     1.4140390943555      0.0031827055985354
0.51   1.41669726038022     1.4135157333501      0.00318152703011676
0.515   1.41582317194439     1.41264360848838      0.00317956345601123
0.52   1.41459975031482     1.41142293495411      0.00317681536070724
0.525   1.41302729735248     1.40985401393021      0.00317328342226664
0.53   1.41110620103663     1.40793723252448      0.00316896851215431
0.535   1.40883693536906     1.40567306367404      0.00316387169502486
0.54   1.40622006025713     1.40306206602867      0.00315799422846075
0.545   1.40325622137563     1.40010488381297      0.00315133756266017
0.55   1.3999461500075     1.39680224666742      0.00314390334008019
0.555   1.39629066286333     1.3931549694683      0.00313569339503039
0.56   1.39229066187991     1.38916395212669      0.00312670975322149
0.565   1.38794713399767     1.3848301793664      0.00311695463126505
0.57   1.38326115091714     1.38015472048101      0.00310643043612591
0.575   1.37823386883457     1.37513872907004      0.00309513976453002
0.58   1.37286652815664     1.36978344275431      0.00308308540232405
0.585   1.36716045319438     1.3640901828706      0.00307027032378304
0.59   1.36111705183646     1.35806035414558      0.00305669769088368
0.595   1.35473781520179     1.35169544434927      0.00304237085251802
0.6   1.34802431727159     1.34499702392791      0.00302729334367102
0.605   1.34097821450108     1.33796674561653      0.00301146888454706
0.61   1.33360124541074     1.33060634403109      0.00299490137965175
0.615   1.32589523015738     1.32291763524055      0.00297759491682825
0.62   1.31786207008501     1.31490251631876      0.00295955376625212
0.625   1.30950374725575     1.30656296487638      0.00294078237937012
0.63   1.30082232396074     1.29790103857293      0.00292128538780911
0.635   1.29181994221136     1.28891887460912      0.00290106760223097
0.64   1.28249882321066     1.27961868919952      0.00288013401114506
0.645   1.27286126680537     1.27000277702569      0.00285848977967684
0.65   1.2629096509184     1.2600735106701      0.00283614024829437
0.655   1.25264643096213     1.24983334003063      0.00281309093149251
0.66   1.2420741392326     1.23928479171617      0.00278934751642668
0.665   1.23119538428469     1.22843046842317      0.00276491586151484
0.67   1.22001285028848     1.21727304829349      0.00273980199499246
0.675   1.208529296367     1.20581528425358      0.00271401211341948
0.68   1.19674755591545     1.19406000333529      0.00268755258015685
0.685   1.18467053590207     1.18201010597828      0.00266042992379378
0.69   1.17230121615095     1.16966856531441      0.00263265083653819
0.695   1.15964264860675     1.15703842643418      0.00260422217256573
0.7   1.14669795658169     1.14412280563537      0.00257515094632565
0.705   1.13347033398495     1.13092488965414      0.00254544433081372
0.71   1.11996304453458     1.11744793487878      0.0025151096557976
0.715   1.10617942095224     1.10369526654622      0.00248415440601613
0.72   1.09212286414092     1.08967027792159      0.00245258621932498
0.725   1.07779684234579     1.07537642946097      0.00242041288481754
0.73   1.06320489029848     1.06081724795759      0.00238764234089683
0.735   1.04835060834494     1.04599632567161      0.00235428267332405
0.74   1.03323766155708     1.03091731944386      0.00232034211321896
0.745   1.01786977882851     1.01558394979348      0.00228582903502805
0.75   1.00225075195446     1      0.00225075195446189
0.755   0.986384434696233     0.98416931516984      0.00221511952639308
0.76   0.970274741830321     0.968095801287604      0.00217894054271783
0.765   0.953925648182518     0.951783424252327      0.00214222393019059
0.77   0.937341187647176     0.935236208898958      0.00210497874821791
0.775   0.920525452191909     0.918458238005283      0.00206721418662592
0.78   0.903482590847958     0.901453651284566      0.0020289395633919
0.785   0.886216808686479     0.884226644364134      0.001990164322345
0.79   0.868732365781009     0.866781467750174      0.00195089803083515
0.795   0.851033576156349     0.849122425778975      0.00191115037737422
0.8   0.833124806724152     0.831253875554907      0.00187093116924497
0.805   0.815010476205445     0.813180225875364      0.00183025033008066
0.81   0.796695054040379     0.794905936142964      0.00178911789741543
0.815   0.778183059285464     0.776435515265253      0.00174754402021104
0.82   0.759479059498555     0.757773520542205      0.00170553895635051
0.825   0.740587669611877     0.738924556541771      0.00166311307010569
0.83   0.721513550793359     0.719893273963776      0.00162027682958299
0.835   0.702261409296563     0.700684368492425      0.00157704080413812
0.84   0.682835995299484     0.681302579637714      0.00153341566177034
0.845   0.663242101732514     0.661752689566026      0.00148941216648724
0.85   0.64348456309586     0.642039521920206      0.00144504117565381
0.855   0.623568254266702     0.622167940629396      0.00140031363730653
0.86   0.603498089296392     0.602142848708934      0.00135524058745762
0.865   0.583279020197983     0.58196918705061      0.0013098331473731
0.87   0.562916035724395     0.561651933203574      0.00126410252082132
0.875   0.542414160137513     0.541196100146197      0.00121805999131586
0.88   0.52177845196853     0.520606735049201      0.00117171691932871
0.885   0.501014002769823     0.499888918030337      0.0011250847394863
0.89   0.480125935858697     0.479047760900947      0.00107817495775053
0.895   0.459119405053277     0.458088405904701      0.00103099914857679
0.9   0.437999593400882     0.437016024448821      0.000983568952061198
0.905   0.416771711899186     0.41583581582812      0.000935896071065756
0.91   0.395440998210483     0.394553005942148      0.000887992268334414
0.915   0.374012715369369     0.373172846005784      0.000839869363585155
0.92   0.352492150484171     0.351700611253572      0.000791539230598992
0.925   0.330884613432432     0.330141599638144      0.000743013794288039
0.93   0.309195435550771     0.308501130523018      0.000694305027753195
0.935   0.287429968319467     0.286784543370138      0.000645424949328899
0.94   0.265593582042052     0.264997196422431      0.000596385619620388
0.945   0.243691664520271     0.243144465381745      0.000547199138525856
0.95   0.221729619724725     0.221231742082474      0.000497877642250871
0.955   0.199712866461522     0.199264433161206      0.000448433300315798
0.96   0.177646837035263     0.177247958722714      0.000398878312549478
0.965   0.155536975908708     0.155187751002624      0.00034922490608344
0.97   0.133388738359432     0.1330892530271      0.000299485332332206
0.975   0.111207589133819     0.110957917269847      0.000249671863971665
0.98   0.0889990010987159     0.0887992043068073      0.00019979679190861
0.985   0.0667684538910878     0.0666185814688361      0.000149872422251701
0.99   0.0445214325659953     0.0444215214927228      9.99110732725073e-05
0.995   0.0222634262432414     0.0222135011708746      4.99250723668826e-05
1   -7.32469865685238e-08     1.73185491414387e-16      7.32469867417093e-08
1.005   -0.0222635727191447     -0.0222135011708748      5.00715482698658e-05
1.01   -0.0445215789876934     -0.0444215214927224      0.000100057494970926
1.015   -0.0667686002224588     -0.0666185814688364      0.000150018753622361
1.02   -0.0889991473036601     -0.0887992043068076      0.000199942996852484
1.025   -0.111207735176267     -0.110957917269848      0.000249817906419661
1.03   -0.133388884203357     -0.133089253027099      0.000299631176257836
1.035   -0.15553712151813     -0.155187751002625      0.000349370515505348
1.04   -0.177646982374261     -0.177247958722714      0.00039902365154687
1.045   -0.19971301149424     -0.199264433161207      0.000448578333033217
1.05   -0.221729764415385     -0.221231742082474      0.000498022332910797
1.055   -0.243691808833177     -0.243144465381745      0.000547343451431398
1.06   -0.265593725941602     -0.264997196422431      0.00059652951917083
1.065   -0.287430111770163     -0.286784543370138      0.00064556840002461
1.07   -0.309195578517222     -0.308501130523018      0.000694447994203984
1.075   -0.330884755879369     -0.330141599638143      0.000743156241225784
1.08   -0.352492292376454     -0.351700611253573      0.000791681122881305
1.085   -0.374012856671992     -0.373172846005783      0.000840010666208424
1.09   -0.395441138888587     -0.394553005942148      0.000888132946438636
1.095   -0.416771851918067     -0.41583581582812      0.000936036089946968
1.1   -0.437999732725997     -0.437016024448822      0.00098370827717531
1.105   -0.459119543650255     -0.4580884059047      0.00103113774555436
1.11   -0.480126073693345     -0.479047760900947      0.00107831279239845
1.115   -0.501014139808139     -0.499888918030337      0.00112522177780228
1.12   -0.521778588176706     -0.520606735049201      0.00117185312750445
1.125   -0.542414295481948     -0.541196100146197      0.00121819533575085
1.13   -0.562916170171699     -0.561651933203574      0.00126423696812483
1.135   -0.583279153714988     -0.58196918705061      0.00130996666437833
1.14   -0.603498221850159     -0.602142848708934      0.00135537314122525
1.145   -0.623568385824531     -0.622167940629396      0.00140044519513538
1.15   -0.643484693625296     -0.642039521920207      0.00144517170508895
1.155   -0.663242231201356     -0.661752689566026      0.00148954163532966
1.16   -0.682836123675792     -0.681302579637714      0.00153354403807771
1.165   -0.702261536548667     -0.700684368492425      0.00157716805624186
1.17   -0.721513676889866     -0.719893273963777      0.001620402926089
1.175   -0.740587794521679     -0.738924556541771      0.00166323797990786
1.18   -0.759479183190837     -0.757773520542205      0.00170566264863203
1.185   -0.778183181729712     -0.776435515265253      0.00174766646445845
1.19   -0.796695175206385     -0.794905936142964      0.00178923906342165
1.195   -0.815010596063318     -0.813180225875364      0.00183037018795351
1.2   -0.833124925244325     -0.831253875554907      0.00187104968941776
1.205   -0.851033693309582     -0.849122425778975      0.001911267530607
1.21   -0.868732481538401     -0.866781467750173      0.00195101378822726
1.215   -0.886216923019473     -0.884226644364135      0.0019902786553383
1.22   -0.903482703728346     -0.901453651284566      0.00202905244378082
1.225   -0.920525563591846     -0.918458238005283      0.00206732558656297
1.23   -0.937341297539179     -0.935236208898958      0.00210508864022152
1.235   -0.953925756539477     -0.951783424252328      0.00214233228714966
1.24   -0.970274848625505     -0.968095801287603      0.00217904733790186
1.245   -0.986384539903295     -0.98416931516984      0.00221522473345492
1.25   -1.00225085554745     -1      0.00225085554744786
